UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/04/01T00:00:09z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,69,45,970.13,4.94,26264,0,1060,2.07,3.0,3.17,2.07,3.0,3.17,13,13,498.67,141.12,19.84,2.19,0.26,0.0,3.22,4.27,4.49,3.22,4.27,4.49,18,18,638.75,204.73,16.98,2.1,0.37,0.12,97.89
2025/04/01T00:02:08z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,69,45,970.12,4.94,26264,0,1179,1.66,2.59,3.27,1.66,2.59,3.27,11,11,436.37,124.66,19.86,2.03,0.97,0.49,3.8,4.57,5.02,3.8,4.57,5.02,19,19,770.95,237.46,20.14,1.32,0.43,0.32,98.96
2025/04/01T00:03:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,70,45,970.18,,26352,0,99,2.33,3.53,3.56,2.33,3.53,3.56,15,15,552.67,154.58,23.82,1.89,0.0,0.0,3.67,5.12,5.47,3.67,5.12,5.47,21,21,722.93,228.7,27.19,2.37,0.3,0.0,
2025/04/01T00:05:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,69,45,970.28,4.94,26264,0,219,2.22,2.75,3.03,2.22,2.75,3.03,11,11,474.76,137.14,17.58,1.44,0.39,0.2,3.23,4.11,4.11,3.23,4.11,4.11,17,17,640.16,196.84,19.16,0.75,0.0,0.0,97.87
2025/04/01T00:07:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,69,45,970.34,4.94,26264,0,339,1.93,2.77,3.11,1.93,2.77,3.11,12,12,455.16,127.77,18.79,1.58,0.51,0.25,3.41,4.59,4.81,3.41,4.59,4.81,19,19,707.54,217.69,22.58,2.07,0.24,0.0,97.78
2025/04/01T00:09:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,69,44,970.38,4.94,26264,0,459,2.91,3.7,4.07,2.91,3.7,4.07,15,15,567.74,170.74,23.6,1.75,0.21,0.21,3.0,3.83,4.08,3.0,3.83,4.08,16,16,600.4,191.85,17.67,1.22,0.0,0.0,101.80
2025/04/01T00:11:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,70,44,970.39,4.94,26264,0,579,1.88,2.88,3.14,1.88,2.88,3.14,12,12,482.33,133.98,16.81,1.62,0.43,0.24,3.39,4.25,4.47,3.39,4.25,4.47,18,18,672.26,213.6,17.11,1.4,0.49,0.25,99.13
2025/04/01T00:13:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,69,44,970.52,4.94,26264,0,699,2.07,2.83,3.1,2.07,2.83,3.1,12,12,506.07,140.57,16.52,1.53,0.36,0.36,3.27,4.51,4.64,3.27,4.51,4.64,19,19,670.91,207.53,24.45,1.4,0.16,0.16,95.03
2025/04/01T00:15:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,69,44,970.63,4.94,26264,0,819,2.24,3.29,3.64,2.24,3.29,3.64,14,14,542.22,153.41,21.67,1.28,0.41,0.41,4.17,5.12,5.29,4.17,5.12,5.29,21,21,778.98,246.86,19.42,1.73,0.08,0.08,97.18
2025/04/01T00:17:48z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,69,44,970.64,4.94,26264,0,939,2.43,3.38,3.55,2.43,3.38,3.55,14,14,554.79,159.48,21.23,2.11,0.18,0.18,4.25,5.29,5.9,4.25,5.29,5.9,22,22,828.1,260.83,25.98,1.61,0.64,0.64,91.13
