UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/04/03T19:19:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,64,39,977.17,,26352,0,101,1.02,1.73,1.78,1.02,1.73,1.78,7,7,372.47,91.82,10.69,1.78,0.24,0.0,1.17,1.76,1.98,1.17,1.76,1.98,7,7,464.57,103.64,10.93,1.4,0.31,0.31,
2025/04/03T19:21:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,63,40,977.15,4.94,26264,0,221,1.05,2.03,2.32,1.05,2.03,2.32,8,8,406.35,100.83,15.58,2.05,0.72,0.0,1.0,1.3,1.48,1.0,1.3,1.48,5,5,449.2,92.8,6.57,1.36,0.43,0.0,102.22
2025/04/03T19:23:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,64,40,977.11,4.94,25952,0,341,1.16,1.96,2.16,1.16,1.96,2.16,8,8,366.63,103.0,13.12,1.02,0.26,0.0,1.16,1.71,1.93,1.16,1.71,1.93,7,7,456.78,102.43,9.59,0.47,0.22,0.22,101.65
2025/04/03T19:25:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,63,40,977.06,4.94,26264,0,461,1.0,1.3,1.73,1.0,1.3,1.73,5,5,373.66,92.46,7.91,1.48,0.39,0.18,1.0,1.54,1.54,0.95,1.54,1.54,6,6,406.08,95.11,10.44,0.38,0.0,0.0,103.20
2025/04/03T19:27:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,64,40,977.17,4.94,26264,0,581,1.02,1.41,1.66,1.02,1.41,1.66,6,6,329.17,85.41,9.48,0.9,0.24,0.24,0.83,1.76,1.76,0.83,1.76,1.76,7,7,410.79,91.52,10.97,0.88,0.0,0.0,96.71
2025/04/03T19:29:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,63,40,976.88,4.94,25952,0,701,1.05,1.85,1.93,1.05,1.85,1.93,8,8,397.12,101.14,10.36,1.22,0.0,0.0,1.0,2.15,2.29,1.0,2.15,2.29,9,9,443.73,104.29,16.35,3.0,0.0,0.0,94.92
2025/04/03T19:31:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,64,40,976.9,4.94,26264,0,821,1.32,1.79,1.79,1.32,1.79,1.79,7,7,396.26,104.44,9.4,1.32,0.0,0.0,1.05,1.66,1.71,1.05,1.66,1.71,7,7,467.07,103.88,10.07,0.55,0.0,0.0,97.45
2025/04/03T19:33:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,64,40,976.99,4.94,26264,0,941,1.0,1.55,1.79,1.0,1.55,1.79,6,6,315.27,88.89,12.05,1.38,0.32,0.0,1.29,2.02,2.03,1.29,2.02,2.03,8,8,483.26,103.83,11.5,2.43,0.09,0.0,98.04
2025/04/03T19:35:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,64,40,976.93,4.94,26264,0,1061,0.9,1.59,2.02,0.9,1.59,2.02,7,7,339.83,89.76,11.98,1.66,0.47,0.22,1.07,1.45,1.91,1.07,1.45,1.91,6,6,440.28,100.86,9.03,0.93,0.48,0.48,95.24
2025/04/03T19:37:47z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,64,40,976.88,4.94,26264,0,1181,1.0,1.53,2.23,1.0,1.53,2.23,6,6,354.0,94.25,13.0,1.75,0.5,0.42,0.96,1.38,1.52,0.96,1.38,1.52,6,6,389.14,89.52,9.66,0.96,0.18,0.0,95.50
