UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/03/31T17:51:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,75,46,969.44,,26352,0,100,2.57,3.3,3.59,2.57,3.3,3.59,14,14,602.74,170.74,17.78,0.93,0.65,0.0,3.07,3.59,3.95,3.07,3.59,3.95,15,15,678.27,186.09,16.07,1.34,0.55,0.0,
2025/03/31T17:53:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,75,46,969.54,0.01,26264,0,220,2.31,2.88,3.17,2.31,2.88,3.17,12,12,583.45,156.17,10.6,1.28,0.55,0.0,2.23,3.0,3.64,2.23,3.0,3.64,13,13,638.46,162.34,16.43,1.09,0.59,0.09,107.98
2025/03/31T17:55:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,75,46,969.46,0.01,26264,0,340,1.63,2.05,2.4,1.63,2.05,2.4,9,9,451.89,122.04,7.47,1.49,0.53,0.39,2.53,3.32,4.15,2.53,3.32,4.15,14,14,680.29,177.49,17.02,1.75,1.31,0.34,106.98
2025/03/31T17:57:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,74,46,969.53,0.01,26264,0,460,2.25,2.98,3.3,2.25,2.98,3.3,12,12,560.25,154.36,13.71,1.04,0.57,0.04,2.82,3.33,3.48,2.82,3.33,3.48,14,14,695.25,186.22,12.27,0.87,0.43,0.0,108.55
2025/03/31T17:59:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,75,46,969.62,0.01,26264,0,580,2.19,3.48,4.38,2.19,3.48,4.38,15,15,592.97,162.48,15.79,4.83,1.22,0.6,2.4,3.21,3.83,2.4,3.21,3.83,13,13,651.1,170.41,16.62,1.83,0.98,0.21,108.63
2025/03/31T18:01:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,54,74,45,969.62,0.01,26264,0,700,2.22,2.75,2.98,2.22,2.75,2.98,11,11,537.97,153.08,8.15,0.98,0.36,0.15,1.93,2.59,2.59,1.93,2.59,2.59,11,11,614.84,151.98,10.07,0.3,0.0,0.0,106.99
2025/03/31T18:03:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,73,46,969.57,0.01,26264,0,820,2.53,3.16,3.51,2.53,3.16,3.51,13,13,597.79,170.28,12.02,1.11,0.67,0.0,2.84,3.59,3.76,2.84,3.59,3.76,15,15,691.24,189.5,14.67,0.9,0.48,0.0,111.71
2025/03/31T18:05:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,72,46,969.59,0.01,26264,0,940,2.98,3.41,4.14,2.98,3.41,4.14,14,14,654.64,183.68,16.04,2.25,1.2,0.05,3.25,3.76,3.97,3.25,3.76,3.97,16,16,765.2,203.56,11.97,1.17,0.37,0.0,116.78
2025/03/31T18:07:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,72,46,969.63,0.01,26264,0,1060,3.4,3.83,4.22,3.4,3.83,4.22,16,16,756.72,209.38,12.47,0.91,0.57,0.57,4.08,4.76,5.02,4.08,4.76,5.02,20,20,849.61,238.85,18.47,1.36,0.46,0.22,119.89
2025/03/31T18:09:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,73,46,969.71,0.01,26264,0,1180,2.68,3.43,4.02,2.68,3.43,4.02,14,14,628.1,181.13,14.43,1.67,0.88,0.72,3.26,4.28,4.84,3.26,4.28,4.84,18,18,730.74,205.98,17.95,2.05,0.79,0.37,112.97
