UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/04/03T20:22:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,56,62,43,976.67,0.01,26264,0,460,0.73,1.11,1.59,0.73,1.11,1.59,5,5,315.86,87.64,5.96,0.8,0.77,0.3,1.37,1.73,2.12,1.37,1.73,2.12,7,7,419.24,113.47,7.9,0.97,0.8,0.24,113.66
2025/04/03T20:24:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,56,62,43,976.39,0.01,26264,0,580,0.92,1.23,2.05,0.92,1.23,2.05,5,5,327.7,90.27,6.75,2.02,1.13,0.67,1.33,1.81,2.24,1.33,1.81,2.24,8,8,429.62,112.38,10.83,1.36,0.41,0.19,117.86
2025/04/03T20:26:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,62,44,976.19,0.01,26264,0,700,0.73,1.19,1.49,0.73,1.19,1.49,5,5,316.78,89.31,7.68,0.78,0.58,0.19,1.18,1.33,1.95,1.18,1.33,1.95,6,6,367.84,100.07,8.23,1.0,0.88,0.19,118.49
2025/04/03T20:28:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,56,62,43,976.3,0.01,26264,0,820,0.45,0.95,1.19,0.45,0.95,1.19,4,4,272.48,74.9,7.22,1.03,0.14,0.0,1.09,1.57,1.98,1.09,1.57,1.98,7,7,416.9,104.05,8.97,1.02,0.69,0.0,117.44
2025/04/03T20:30:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,62,44,976.36,0.01,26264,0,940,0.89,1.51,1.89,0.89,1.51,1.89,6,6,291.16,82.18,9.64,2.71,0.6,0.16,1.17,1.53,1.76,1.17,1.53,1.76,6,6,382.98,101.44,8.53,0.86,0.24,0.24,115.34
2025/04/03T20:32:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,55,64,43,976.39,0.01,25304,0,1060,0.64,0.93,1.09,0.64,0.93,1.09,4,4,282.52,75.95,6.36,0.52,0.19,0.0,1.33,1.48,1.76,1.33,1.48,1.76,6,6,521.22,114.22,6.16,0.76,0.34,0.0,115.45
2025/04/03T20:34:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,976.46,0.01,25664,0,1180,0.95,1.47,1.85,0.95,1.47,1.85,6,6,341.49,91.8,10.15,1.73,0.63,0.17,0.75,1.36,1.52,0.75,1.36,1.52,6,6,351.96,92.89,5.91,1.07,0.29,0.18,114.75
2025/04/03T20:36:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.61,0.01,25664,0,1301,0.6,0.91,0.95,0.6,0.91,0.95,4,4,302.84,82.81,5.02,0.21,0.04,0.04,0.4,0.92,1.03,0.4,0.92,1.03,4,4,270.75,71.92,6.25,1.07,0.32,0.0,116.07
2025/04/03T20:38:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,44,976.47,0.01,25352,0,1421,0.58,0.79,0.88,0.58,0.79,0.88,3,3,284.32,80.88,6.21,0.18,0.18,0.0,0.88,1.13,1.3,0.88,1.13,1.3,5,5,287.35,83.47,7.87,0.92,0.17,0.0,113.00
2025/04/03T20:40:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.33,0.01,25664,0,1541,0.63,0.9,0.9,0.63,0.9,0.9,4,4,389.39,109.73,4.78,0.61,0.0,0.0,1.57,2.09,2.5,1.57,2.09,2.5,9,9,429.16,121.66,9.82,1.71,0.7,0.0,111.75
2025/04/03T20:42:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.47,0.01,25664,0,1661,0.65,1.23,1.51,0.65,1.23,1.51,5,5,321.26,87.79,8.3,1.33,0.49,0.0,1.03,1.22,1.63,1.03,1.22,1.63,5,5,337.07,92.05,7.8,1.41,0.46,0.2,115.45
2025/04/03T20:44:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,56,62,43,976.26,0.01,25664,0,1781,0.52,0.8,0.93,0.52,0.8,0.93,3,3,309.32,87.29,5.45,0.73,0.2,0.0,1.08,1.26,1.26,1.08,1.26,1.26,5,5,362.95,98.38,7.2,0.67,0.16,0.0,116.73
2025/04/03T20:46:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.36,0.01,25664,0,1901,0.72,1.19,1.41,0.72,1.19,1.41,5,5,304.86,87.97,9.16,0.76,0.52,0.09,0.89,1.09,1.26,0.89,1.09,1.26,5,5,280.05,78.21,6.42,1.19,0.32,0.0,115.98
2025/04/03T20:48:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.44,0.01,25664,0,2021,0.67,0.83,0.95,0.67,0.83,0.95,3,3,280.05,78.98,4.12,0.28,0.12,0.12,0.53,0.88,1.23,0.53,0.88,1.23,4,4,285.47,75.51,6.95,1.18,0.6,0.0,117.07
2025/04/03T20:50:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.62,0.01,25664,0,2141,0.57,0.93,1.11,0.57,0.93,1.11,4,4,268.23,74.27,5.55,0.7,0.39,0.0,0.83,1.42,2.08,0.83,1.42,2.08,6,6,332.35,95.02,12.13,1.0,0.92,0.67,114.91
2025/04/03T20:52:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,60,44,976.44,0.01,25664,0,2261,0.48,0.83,1.0,0.48,0.83,1.0,3,3,305.84,90.43,5.67,1.28,0.4,0.0,0.83,1.19,1.75,0.83,1.19,1.75,5,5,346.47,92.37,9.2,1.05,0.68,0.0,115.39
2025/04/03T20:54:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,976.38,0.01,25664,0,2381,0.42,1.07,1.42,0.42,1.07,1.42,4,4,297.15,82.61,5.31,1.58,0.46,0.0,0.6,0.91,1.37,0.6,0.91,1.37,4,4,295.37,83.35,6.37,0.96,0.67,0.25,116.92
2025/04/03T20:56:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.42,0.01,25664,0,2501,0.72,1.0,1.0,0.72,1.0,1.0,4,4,281.9,82.72,4.0,0.33,0.0,0.0,0.51,0.85,1.32,0.51,0.85,1.32,4,4,267.0,70.83,5.85,1.27,0.76,0.37,118.11
2025/04/03T20:58:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,976.42,0.01,25664,0,2621,0.35,0.93,1.35,0.35,0.93,1.35,4,4,348.76,98.65,6.64,1.15,0.73,0.51,1.12,1.36,1.56,1.12,1.36,1.56,6,6,363.15,104.03,7.12,0.56,0.37,0.0,123.07
2025/04/03T21:00:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.75,0.01,25664,0,2741,0.37,0.7,1.62,0.37,0.7,1.62,3,3,250.05,68.48,5.88,2.5,1.52,0.37,0.3,0.7,0.96,0.3,0.7,0.96,3,3,247.58,66.04,5.28,0.75,0.46,0.0,116.73
2025/04/03T21:02:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,61,44,976.66,0.01,25664,0,2861,0.46,0.72,0.81,0.46,0.72,0.81,3,3,342.63,96.67,4.95,0.65,0.12,0.0,1.09,1.74,2.03,1.09,1.74,2.03,7,7,389.84,107.31,8.67,1.78,0.38,0.0,116.59
2025/04/03T21:04:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,61,43,976.56,0.01,25664,0,2981,0.33,0.55,0.6,0.33,0.55,0.6,2,2,257.67,67.71,3.56,0.36,0.27,0.18,0.83,1.3,1.35,0.83,1.3,1.35,5,5,288.05,78.93,8.68,1.05,0.25,0.0,116.12
2025/04/03T21:06:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,60,44,976.38,0.01,25664,0,3101,0.51,1.1,1.17,0.51,1.1,1.17,5,5,354.81,98.51,9.61,1.44,0.24,0.0,1.08,1.47,1.69,1.08,1.47,1.69,6,6,366.36,102.46,7.69,0.66,0.39,0.0,117.00
2025/04/03T21:08:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,60,43,976.32,0.01,25664,0,3221,0.68,0.98,1.12,0.68,0.98,1.12,4,4,378.81,104.44,7.08,0.46,0.22,0.0,1.25,1.5,1.71,1.25,1.5,1.71,6,6,328.61,96.8,8.89,0.52,0.21,0.21,118.15
2025/04/03T21:10:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,60,44,976.37,0.01,25664,0,3341,1.18,1.49,1.82,1.18,1.49,1.82,6,6,335.89,98.04,8.84,0.85,0.42,0.42,0.87,0.95,1.12,0.87,0.95,1.12,4,4,294.0,82.05,5.1,0.42,0.17,0.0,117.24
2025/04/03T21:12:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,60,44,976.49,0.01,25576,0,3461,0.88,1.34,1.66,0.88,1.34,1.66,6,6,424.45,114.97,10.43,0.98,0.62,0.22,1.39,1.81,1.81,1.39,1.81,1.81,8,8,403.02,112.14,10.73,0.39,0.0,0.0,117.19
2025/04/03T21:14:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,59,59,44,976.5,0.01,24880,0,3581,0.85,1.42,2.02,0.85,1.42,2.02,6,6,408.1,111.67,7.9,1.93,0.97,0.17,1.39,1.7,1.7,1.39,1.7,1.7,7,7,399.37,114.86,9.23,0.61,0.0,0.0,120.35
2025/04/03T21:16:40z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,44,976.43,0.01,25336,0,3701,0.43,0.83,1.05,0.43,0.83,1.05,3,3,268.45,71.31,4.84,0.79,0.31,0.17,0.69,1.07,1.22,0.69,1.07,1.22,4,4,294.71,83.42,6.86,0.47,0.17,0.17,117.82
2025/04/03T21:18:21z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,60,44,976.36,,26352,0,100,0.24,0.56,0.8,0.24,0.56,0.8,2,2,213.67,60.47,4.04,0.76,0.24,0.0,0.43,0.73,1.23,0.43,0.73,1.23,3,3,234.14,63.41,8.27,1.55,0.52,0.23,
2025/04/03T21:20:21z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,59,43,976.33,0.01,26264,0,220,0.25,0.75,1.0,0.25,0.75,1.0,3,3,288.2,78.2,9.05,0.51,0.42,0.0,0.77,1.18,1.18,0.77,1.18,1.18,5,5,313.21,82.37,8.96,0.26,0.0,0.0,114.15
