UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/03/31T16:51:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,75,43,970.06,,26352,0,99,3.27,4.18,4.56,3.27,4.18,4.56,17,17,675.53,191.04,25.6,2.4,0.51,0.31,4.81,6.44,6.67,4.81,6.44,6.67,27,27,884.44,267.79,31.0,2.44,0.23,0.0,
2025/03/31T16:53:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,75,42,970.0,4.94,26264,0,219,3.25,4.57,4.72,3.25,4.57,4.72,19,19,711.55,192.75,26.43,2.15,0.3,0.0,3.93,5.72,5.98,3.93,5.72,5.98,24,24,788.32,235.49,32.4,3.77,0.33,0.0,100.16
2025/03/31T16:55:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,75,42,969.99,4.94,26264,0,339,3.39,4.47,4.79,3.39,4.47,4.79,19,19,708.0,192.33,27.86,2.51,0.25,0.0,4.17,5.58,6.13,4.17,5.58,6.13,23,23,833.35,242.73,25.38,3.2,0.6,0.2,98.74
2025/03/31T16:57:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,76,43,970.0,4.94,26264,0,459,3.38,4.91,5.62,3.38,4.91,5.62,20,20,746.24,210.4,27.38,3.2,0.8,0.44,4.41,6.02,7.75,4.41,6.02,7.75,25,25,839.08,252.9,29.47,4.02,1.25,0.71,98.53
2025/03/31T16:59:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,78,43,970.06,4.94,26264,0,579,3.73,5.39,5.8,3.73,5.39,5.8,22,22,774.1,216.63,34.63,2.76,0.29,0.24,4.9,6.19,6.6,4.9,6.19,6.6,26,26,879.88,262.19,25.1,1.81,0.55,0.21,101.00
2025/03/31T17:01:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,78,43,970.07,4.94,26264,0,699,3.66,5.56,5.8,3.66,5.56,5.8,23,23,787.12,217.81,32.24,3.37,0.61,0.0,4.44,6.07,6.69,4.44,6.07,6.69,25,25,830.89,245.38,30.55,1.85,0.2,0.2,100.46
2025/03/31T17:03:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,78,43,970.06,4.94,26264,0,819,3.82,5.19,6.68,3.82,5.19,6.68,22,22,775.84,221.16,33.37,3.04,1.26,1.04,5.41,7.37,7.54,5.41,7.37,7.54,31,31,971.69,290.2,37.15,1.17,0.22,0.22,100.18
2025/03/31T17:05:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,78,43,970.16,4.94,26264,0,939,3.65,5.21,5.58,3.65,5.21,5.58,22,22,741.53,211.61,29.51,2.7,0.44,0.0,5.53,7.92,8.49,5.53,7.92,8.49,33,33,987.92,302.88,35.56,3.64,0.59,0.0,101.31
2025/03/31T17:07:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,79,43,970.27,4.94,26264,0,1059,3.7,5.25,5.82,3.7,5.25,5.82,22,22,826.11,223.21,30.81,3.4,0.42,0.18,4.91,6.86,7.16,4.91,6.86,7.16,29,29,899.53,267.53,32.56,2.18,0.16,0.0,103.31
2025/03/31T17:09:04z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,78,43,970.26,4.94,26264,0,1179,3.72,5.28,5.9,3.72,5.28,5.9,22,22,748.75,211.95,30.2,2.97,0.93,0.37,5.96,7.82,8.29,5.96,7.82,8.29,33,33,1031.2,308.89,35.29,2.2,0.43,0.0,103.35
2025/03/31T17:10:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,79,44,970.12,,26352,0,99,3.58,4.98,5.22,3.58,4.98,5.22,21,21,770.27,213.33,31.71,2.8,0.44,0.0,4.28,5.4,5.6,4.28,5.4,5.6,22,22,817.74,240.53,26.3,1.67,0.33,0.0,
2025/03/31T17:12:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,78,43,970.11,4.94,26264,0,219,3.84,5.66,6.12,3.84,5.66,6.12,24,24,864.57,233.12,32.16,3.16,0.57,0.21,4.98,6.79,7.04,4.98,6.79,7.04,28,28,913.88,267.5,31.75,2.11,0.21,0.0,99.55
2025/03/31T17:14:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,50,78,43,970.0,4.94,26264,0,339,3.56,5.14,5.18,3.56,5.14,5.18,21,21,763.32,215.84,30.12,1.95,0.0,0.0,5.08,7.0,7.63,5.08,7.0,7.63,29,29,932.05,277.1,29.32,1.98,0.82,0.38,101.07
2025/03/31T17:16:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,80,45,969.88,4.94,26264,0,459,4.04,5.96,6.42,4.04,5.96,6.42,25,25,797.45,234.13,35.65,4.51,0.69,0.49,5.27,7.78,8.48,5.27,7.78,8.48,32,32,978.65,298.45,37.53,2.78,0.75,0.25,102.52
2025/03/31T17:18:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,79,45,969.93,4.94,26264,0,579,4.05,5.47,5.9,4.05,5.47,5.9,23,23,842.48,236.72,32.41,2.62,0.45,0.19,6.05,8.39,9.08,6.05,8.39,9.08,35,35,1077.61,326.51,38.25,3.12,0.73,0.54,104.28
2025/03/31T17:20:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,79,45,969.95,4.94,26264,0,699,4.08,6.47,6.76,4.08,6.47,6.76,27,27,873.1,244.92,38.54,4.19,0.29,0.07,6.36,7.73,8.13,6.36,7.73,8.13,32,32,1081.69,333.78,34.55,1.16,0.33,0.33,105.21
2025/03/31T17:22:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,79,45,969.83,4.94,26264,0,819,4.37,5.88,6.32,4.37,5.88,6.32,25,25,870.15,246.66,32.22,2.19,0.78,0.56,6.05,8.36,8.83,6.05,8.36,8.83,35,35,1092.93,331.52,41.1,2.16,0.43,0.21,104.51
2025/03/31T17:24:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,78,44,969.93,4.94,26264,0,939,4.27,6.27,7.25,4.27,6.27,7.25,26,26,901.77,247.82,37.91,4.3,1.16,0.98,5.5,7.74,8.26,5.5,7.74,8.26,32,32,984.52,305.93,39.74,3.16,0.43,0.0,102.86
2025/03/31T17:26:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,77,45,969.83,4.94,26264,0,1059,3.68,5.39,5.4,3.68,5.39,5.4,22,22,749.79,216.19,36.07,2.35,0.07,0.0,5.69,7.79,8.59,5.69,7.79,8.59,32,32,1042.55,318.02,36.03,1.9,0.71,0.47,101.16
2025/03/31T17:28:44z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,51,76,43,969.84,4.94,26264,0,1179,3.46,5.0,5.69,3.46,5.0,5.69,21,21,729.15,208.56,30.78,2.69,0.8,0.19,5.38,6.8,7.87,5.38,6.8,7.87,28,28,1027.69,307.56,29.45,3.09,1.24,0.42,100.52
2025/03/31T17:30:25z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,76,44,969.77,,26352,0,100,3.42,4.64,5.09,3.42,4.64,5.09,19,19,718.4,199.0,29.56,2.8,0.6,0.6,5.31,7.31,7.62,5.31,7.31,7.62,30,30,956.07,292.76,34.52,3.55,0.31,0.0,
2025/03/31T17:32:25z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,76,44,969.75,4.94,26264,0,220,3.54,5.07,5.59,3.54,5.07,5.59,21,21,727.32,209.85,31.68,3.17,0.98,0.63,5.52,7.21,7.75,5.52,7.21,7.75,30,30,958.61,289.2,37.18,2.64,0.45,0.0,101.57
2025/03/31T17:34:25z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,75,44,969.65,4.94,26264,0,340,4.0,5.57,6.09,4.0,5.57,6.09,23,23,820.45,233.86,37.1,2.74,0.83,0.0,5.53,7.17,7.52,5.53,7.17,7.52,30,30,1012.05,309.27,33.17,1.57,0.48,0.23,101.16
2025/03/31T17:36:25z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,75,44,969.62,4.94,26264,0,460,3.6,4.84,4.88,3.6,4.84,4.88,20,20,770.0,215.42,24.77,2.14,0.04,0.0,5.16,7.84,8.29,5.16,7.84,8.29,33,33,974.53,299.24,36.74,5.02,0.4,0.22,101.06
2025/03/31T17:38:25z,c8:c9:a3:27:7b:41,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,52,75,44,969.54,4.94,26264,0,580,3.62,4.66,5.29,3.62,4.66,5.29,19,19,749.48,208.28,23.98,2.5,0.62,0.38,4.48,5.55,5.6,4.48,5.55,5.6,23,23,855.31,252.5,25.57,0.95,0.22,0.0,99.77
