UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2025/04/01T00:01:51z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,66,46,970.03,0.01,26264,0,1060,1.95,2.22,2.36,1.95,2.22,2.36,9,9,480.83,134.69,11.29,0.6,0.19,0.02,1.79,2.09,3.09,1.79,2.09,3.09,9,9,477.88,131.6,10.26,2.0,1.57,0.28,110.43
2025/04/01T00:03:51z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,65,46,970.07,0.01,26264,0,1180,1.73,2.32,2.85,1.73,2.32,2.85,10,10,476.3,133.13,10.83,1.47,0.83,0.17,1.77,2.36,2.62,1.77,2.36,2.62,10,10,461.46,130.54,12.96,0.91,0.5,0.25,109.74
2025/04/01T00:05:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,58,66,46,970.14,,26352,0,101,1.76,2.57,2.61,1.76,2.57,2.61,11,11,492.0,143.87,13.54,0.65,0.0,0.0,2.18,2.66,2.66,2.18,2.66,2.66,11,11,504.82,147.52,10.55,0.59,0.0,0.0,
2025/04/01T00:07:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,66,45,970.28,0.01,26264,0,221,1.78,2.41,2.8,1.78,2.41,2.8,10,10,480.51,137.86,11.42,1.0,0.53,0.17,1.82,2.46,2.86,1.82,2.46,2.86,10,10,468.11,135.91,11.68,1.54,0.8,0.04,109.21
2025/04/01T00:09:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,65,45,970.3,0.01,26264,0,341,1.88,2.26,2.42,1.88,2.26,2.42,9,9,501.05,139.05,11.89,0.58,0.25,0.25,1.92,2.75,2.86,1.92,2.75,2.86,11,11,501.05,143.14,12.42,0.97,0.41,0.17,109.89
2025/04/01T00:11:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,65,45,970.29,0.01,26264,0,461,2.02,2.45,2.66,2.02,2.45,2.66,10,10,502.93,141.68,12.62,0.62,0.21,0.0,2.03,2.48,3.03,2.03,2.48,3.03,10,10,498.35,138.93,12.25,1.13,0.93,0.0,113.75
2025/04/01T00:13:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,65,45,970.36,0.01,26264,0,581,1.45,1.9,2.27,1.45,1.9,2.27,8,8,424.3,120.67,10.18,1.0,0.45,0.23,1.53,2.4,2.82,1.53,2.4,2.82,10,10,419.05,124.7,12.68,1.53,0.51,0.0,107.46
2025/04/01T00:15:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,65,45,970.5,0.01,26264,0,701,1.92,2.1,2.53,1.92,2.1,2.53,9,9,492.31,139.25,10.25,0.68,0.68,0.22,1.68,2.56,2.74,1.68,2.56,2.74,11,11,473.68,138.12,13.12,0.86,0.26,0.0,107.35
2025/04/01T00:17:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,65,45,970.51,0.01,26264,0,821,1.67,2.29,2.81,1.67,2.29,2.81,10,10,440.69,125.78,11.45,1.48,0.84,0.43,1.88,2.33,2.76,1.88,2.33,2.76,10,10,483.1,136.88,12.69,0.93,0.72,0.17,107.20
2025/04/01T00:19:32z,c8:c9:a3:f:85:30,7.04,3.0+OPENLOG+31164 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,57,65,45,970.53,0.01,26264,0,941,2.36,2.77,3.27,2.36,2.77,3.27,12,12,566.89,166.14,12.95,1.09,0.89,0.62,2.37,2.92,3.32,2.37,2.92,3.32,12,12,539.75,157.69,13.68,1.37,0.58,0.0,107.93
